Region,District,Chiefdom,Health Facility,Community
Southern,Bo,Bagbwe Chiefdom,Ngalu CHC,Bagbwe Communities
Northern,Bombali,Makarie Chiefdom,Magbenteh Hospital,Makarie Communities
Northwest,Karene,Sanda Magbolonthor Chiefdom,Sendugu CHC,Sanda Magbolonthor Communities
Western,Western Area Rural,Koya Rural Zone,Newton CHC,Koya Rural Communities
Eastern,Kono,Nimikoro Chiefdom,Motema CHC,Nimikoro Communities
Southern,Pujehun,Makpele Chiefdom,Zimmi CHC,Makpele Communities
Northern,Tonkolili,Dansogoia Chiefdom,Bumbuna CHC,Dansogoia Communities
Northwest,Kambia,Gbinleh Chiefdom,Gbalamuya CHC,Gbinleh Communities
Western,Western Area Urban,Freetown City Council,Wellington CHC,East 3 Communities
Eastern,Kenema,Gaura Chiefdom,Joru CHC,Gaura Communities
Southern,Moyamba,Bumpeh Chiefdom,UMC Rotifunk Hospital,Bumpeh Communities
Northern,Falaba,Delmandugu Chiefdom,Masadu CHC,Delmandugu Communities
Northwest,Port Loko,Lokomasama Chiefdom,Petifu Junction CHC,Lokomasama Communities
Western,Western Area Rural,Mountain Rural Zone,Regent (Mountain Rural) CHC,Mountain Rural Communities
Eastern,Kailahun,Kissi Teng Chiefdom,Koindu CHC,Kissi Teng Communities
Southern,Bonthe,Jong Chiefdom,Mattru UBC Hospital,Jong Communities
Northern,Koinadugu,Kallian Chiefdom,Alkalia CHC,Kallian Communities
Northwest,Karene,Dibia Chiefdom,Gbinti CHC,Dibia Communities
Western,Western Area Urban,Freetown City Council,Aberdeen Women Centre Hospital,West 3 Communities
Eastern,Kono,Nimiyama Chiefdom,Jaiama Sewafe CHC,Nimiyama Communities
Southern,Bo,Baoma Chiefdom,Gerehun CHC,Baoma Communities
Northern,Bombali,Safroko Limba Chiefdom,Binkolo CHC,Safroko Limba Communities
Northwest,Kambia,Mambolo Chiefdom,Mambolo (Kambia) CHC,Mambolo Communities
Western,Western Area Rural,York Rural Zone,Lakka Government Hospital,York Rural Communities
